DOEID,REGIONC,TYPEHUQ,YEARMADERANGE,TOTSQFT_EN,WALLTYPE,ROOFTYPE,ADQINSUL,HHSEX,HHAGE,EMPLOYHH,MONEYPY,KWH,NWEIGHT
100076,NORTHEAST,5,5,900,1,-2,2,1,89,3,11,2176.19,9338.230985
100077,SOUTH,4,7,1800,4,5,1,1,36,1,13,9729.96,11584.38762
100078,WEST,5,4,900,1,-2,2,2,63,3,9,4721.91,9808.44257
100079,NORTHEAST,3,4,1220,5,4,2,1,53,1,10,7283.7,2521.599409
100080,SOUTH,2,4,1500,1,5,2,2,46,1,15,3575.66,8662.838856
100081,MIDWEST,5,4,760,1,-2,2,2,72,3,4,6160.09,1508.194576
100082,NORTHEAST,1,4,920,7,3,3,2,62,3,3,4773.89,2898.678963
100083,SOUTH,2,2,2200,3,5,2,1,66,3,11,13624.39,7023.292838
100084,MIDWEST,2,2,670,3,5,2,1,24,1,13,12056.92,6822.52145
100085,MIDWEST,2,6,2550,3,5,2,2,70,3,14,6398.78,17633.72207
100086,WEST,2,6,1130,4,5,2,1,35,2,15,15883.07,10374.97419
100087,SOUTH,1,6,1960,3,3,2,2,61,4,3,17645.39,5538.033312
100088,MIDWEST,2,2,2780,2,5,1,1,90,3,6,6204.94,9783.112035
100089,NORTHEAST,2,1,1800,2,5,3,1,43,1,9,6267.44,4808.417578
100090,SOUTH,2,1,900,1,3,3,1,64,1,11,12590.62,4339.949568
100091,MIDWEST,5,4,1400,1,-2,2,1,37,1,13,10916.67,19298.557
100092,WEST,2,4,4740,4,5,2,1,66,4,16,18927.41,2200.739178
100093,NORTHEAST,2,1,1800,3,3,1,2,75,3,14,18049.34,2726.850789
100094,SOUTH,2,7,1500,3,5,2,1,26,2,1,11974.77,8373.124078
100095,SOUTH,2,5,2300,1,5,2,1,76,3,7,13181.71,7807.120981
100096,MIDWEST,2,4,1800,2,5,2,2,55,1,14,10895.27,6216.803067
100097,SOUTH,2,7,1440,3,5,2,2,74,3,16,8789.08,13895.86407
100098,SOUTH,2,1,2400,3,5,3,1,53,4,9,12889.92,7409.890612
100099,WEST,2,6,1500,4,1,2,2,74,3,7,16199.78,4594.675403
100100,MIDWEST,5,4,750,3,-2,2,2,73,3,6,24238.61,13371.61756
100101,WEST,2,6,3170,3,5,2,2,39,1,15,12438,5823.920122
100102,SOUTH,2,6,4550,1,5,2,1,64,3,13,9022.24,4632.574951
100103,NORTHEAST,2,1,1690,3,3,2,1,70,3,9,5765.34,7902.036714
100104,SOUTH,2,6,1060,3,5,2,2,53,1,13,3910.15,8526.627153
100105,MIDWEST,2,2,2650,2,5,2,1,90,4,4,4577.45,13076.32633
100106,NORTHEAST,2,6,3300,2,3,2,1,69,3,13,4599.93,1219.244409
100107,MIDWEST,2,8,6370,7,5,1,2,62,4,16,10247.15,3150.97453
100108,SOUTH,2,7,1950,3,5,2,1,51,1,15,29380.28,5555.701462
100109,SOUTH,5,6,1200,5,-2,2,1,47,1,10,8753.99,13564.83588
100110,WEST,1,4,1150,3,5,1,1,33,4,12,4016.32,9875.950866
100111,SOUTH,3,2,860,1,5,2,1,24,4,1,12043.75,5652.131415
100112,SOUTH,2,1,1200,3,5,3,1,36,4,11,20462.57,14330.88234
100113,SOUTH,2,1,1800,3,5,1,2,35,3,11,8689.42,10734.44582
100114,WEST,2,3,1000,3,3,1,1,89,3,4,11136.99,6063.320748
100115,WEST,2,2,1550,4,3,2,2,65,1,16,9118.41,8221.529023
100116,MIDWEST,2,4,1400,3,5,1,1,69,3,13,1940.97,9077.846748
100117,NORTHEAST,5,3,780,1,-2,3,2,27,1,15,2541.36,10631.98786
100118,WEST,2,2,2300,4,5,2,1,42,1,10,24095.35,5157.337857
100119,NORTHEAST,2,3,3500,3,5,2,2,22,1,16,30533.48,5083.191312
100120,SOUTH,2,4,1350,3,5,2,2,55,1,15,23912.12,6565.299185
100121,NORTHEAST,2,1,2190,3,5,1,1,63,3,16,4581.29,6796.011856
100122,MIDWEST,2,7,4100,1,5,2,1,47,1,16,16066.17,5362.543261
100123,SOUTH,5,1,710,3,-2,2,1,32,4,1,8041.83,16010.12171
100124,WEST,2,1,5000,4,5,1,1,58,3,16,16207.98,10019.87764
100125,NORTHEAST,2,2,1040,3,5,2,1,85,4,6,8448.7,5084.215706
100126,WEST,2,5,1900,2,5,2,2,66,1,14,7885.45,5140.411862
100127,NORTHEAST,2,5,2720,2,5,2,2,29,1,15,6010.72,2190.374834
100128,NORTHEAST,2,2,2630,3,5,2,2,73,3,15,17782.42,4165.200641
100129,SOUTH,3,6,2160,3,5,2,1,35,1,14,8790.14,6116.124755
100130,SOUTH,2,4,6450,1,5,2,1,59,1,16,27778.01,9121.370561
100131,MIDWEST,2,2,1330,3,5,2,2,71,3,13,4289.95,7696.763779
100132,SOUTH,2,2,1100,3,5,1,2,78,3,9,10390.58,7745.760775
100133,WEST,2,5,2100,2,5,1,2,63,3,12,5725.06,10641.40657
100134,WEST,5,8,690,3,-2,2,1,30,1,12,4085.2,10046.21478
100135,MIDWEST,2,5,1850,3,5,2,1,63,1,9,4063.68,3338.249513
100136,MIDWEST,2,7,580,3,3,3,2,63,1,4,14519.14,9095.642541
100137,WEST,2,8,4200,6,5,1,1,44,1,16,8307.21,4430.808435
100138,SOUTH,2,5,3450,3,5,1,2,50,1,16,13236.12,7353.176121
100139,SOUTH,2,6,3020,3,5,2,1,57,4,12,18727.28,7143.592582
100140,SOUTH,2,1,1000,4,99,3,2,48,1,14,12174.42,12866.78724
100141,WEST,2,7,2500,3,5,2,2,56,1,12,8446.03,2286.478121
100142,SOUTH,5,3,1100,1,-2,1,2,71,2,16,8741.84,7666.130046
100143,SOUTH,1,9,1700,3,5,2,2,37,1,13,19541.36,10122.15558
100144,SOUTH,2,9,2680,3,5,1,2,41,1,14,32262.55,6031.975423
100145,SOUTH,3,8,2160,3,5,1,1,36,1,12,6957.99,1696.389768
100146,MIDWEST,2,7,2800,3,5,1,1,86,3,8,8403.49,5439.890294
100147,WEST,2,1,2460,3,5,2,1,56,1,15,13732.92,14392.93878
100148,SOUTH,4,5,600,1,5,3,1,51,2,9,4428.51,9174.315938
100149,NORTHEAST,5,2,680,1,-2,2,1,38,1,14,8162.15,10267.29484
100150,WEST,2,6,2000,4,1,1,1,65,1,16,13933.59,11399.8361
100151,MIDWEST,2,4,2300,3,5,2,2,70,3,13,8257.1,865.4563691
100152,MIDWEST,2,9,6150,3,5,1,1,46,1,16,15970.41,7780.58211
100153,WEST,3,2,1820,3,5,1,2,84,3,8,5442,7205.309089
100154,SOUTH,2,1,610,1,5,2,1,35,1,8,19066.09,9995.768765
100155,MIDWEST,2,3,1400,3,5,2,1,59,1,15,12076.4,3711.704235
100156,NORTHEAST,2,2,2120,3,1,2,1,82,3,13,11038.45,6290.648659
100157,SOUTH,5,4,860,1,-2,3,1,73,3,6,4188.52,1997.333839
100158,WEST,2,7,4200,4,6,1,2,66,3,16,21471.17,3991.156064
100159,SOUTH,2,1,1500,1,5,3,1,88,3,5,7645.02,10125.87542
100160,MIDWEST,2,3,2410,3,5,3,1,69,3,16,27534.26,915.0462718
100161,MIDWEST,3,6,2110,3,5,1,2,85,3,12,5617.67,2763.181994
100162,WEST,2,4,1060,2,5,3,2,78,3,13,7447.48,1340.915244
100163,SOUTH,3,5,2130,3,5,1,1,75,3,11,15199.48,4052.426332
100164,NORTHEAST,2,6,1730,3,5,2,1,34,1,13,3346.6,872.3384563
100165,WEST,3,2,1460,2,5,4,1,19,4,16,15026.49,1279.185188
100166,SOUTH,2,7,2280,1,5,1,2,53,1,16,7940.44,3056.372273
100167,MIDWEST,2,6,4700,3,5,1,2,57,2,16,14752.32,6827.127967
100168,MIDWEST,4,2,1200,3,5,2,2,69,3,6,1256.7,1141.020541
100169,SOUTH,5,8,960,3,-2,2,2,82,3,13,5703.72,8116.688325
100170,NORTHEAST,5,1,800,1,-2,2,1,63,1,13,9099.49,1202.953884
100171,SOUTH,3,3,890,1,6,1,1,47,1,4,6893.8,2538.315039
100172,SOUTH,2,5,1600,3,5,1,1,34,1,11,14132.09,7545.540337
100173,WEST,2,9,2200,4,2,1,1,61,3,14,12485.77,4838.084529
100174,WEST,5,4,900,3,-2,2,1,68,3,8,11150.75,9739.48245
100175,SOUTH,2,5,1300,3,2,2,1,61,3,14,16528.43,6839.747022
100176,MIDWEST,2,7,1500,3,5,2,1,61,3,14,10670.46,10835.68243
100177,SOUTH,2,7,1800,3,5,1,2,79,3,14,8433.04,3922.651463
100178,MIDWEST,2,4,2520,2,5,1,2,71,3,8,18446.03,5890.979668
100179,WEST,2,6,1680,3,3,2,1,72,3,13,17287.87,2541.068951
100180,WEST,3,5,2400,3,2,1,1,62,3,14,16966.85,486.3041386
100181,WEST,2,6,1220,2,5,2,1,54,1,14,9756.65,6598.727214
100182,SOUTH,2,7,3100,1,5,1,2,65,3,15,19197.83,4335.327849
100183,SOUTH,3,1,1820,1,5,2,1,29,1,15,5114.12,1198.224905
100184,NORTHEAST,2,6,3900,3,5,1,2,59,1,15,5378.36,4653.743157
100185,MIDWEST,2,5,2800,3,5,2,2,83,3,15,19299.44,6683.174612
100186,MIDWEST,2,1,1930,3,5,2,1,44,1,15,15055.94,8007.10501
100187,SOUTH,2,1,1090,1,3,2,2,21,1,13,7266.5,5576.882059
100188,NORTHEAST,2,4,2280,3,5,2,2,70,3,14,11181.42,5292.018333
100189,WEST,2,4,2200,3,3,1,2,77,1,7,10568.63,2358.349802
100190,MIDWEST,4,5,1100,2,5,1,2,45,4,6,2545.36,945.4640158
100191,MIDWEST,2,1,2500,2,3,1,2,55,4,7,41070.18,13089.49387
100192,NORTHEAST,5,5,750,3,-2,3,1,66,3,11,6226.62,6839.218318
100193,SOUTH,1,4,980,3,3,2,1,76,3,3,19551.49,7287.867128
100194,SOUTH,4,4,750,1,5,1,1,66,3,2,2262.97,4992.082462
100195,MIDWEST,2,3,2200,2,5,1,1,31,1,14,6220.65,858.1050045
100196,SOUTH,5,3,510,6,-2,2,2,26,1,13,5302.86,1695.735428
100197,WEST,5,4,670,7,-2,4,2,74,3,10,3750.6,2003.484265
100198,SOUTH,5,9,560,1,-2,2,1,31,1,11,4723.78,10541.09543
100199,SOUTH,5,4,580,1,-2,1,2,62,3,1,6520.24,6563.621112
100200,SOUTH,2,4,840,3,3,2,2,76,3,4,13003.05,5798.2443
100201,WEST,2,9,3400,4,2,1,2,79,3,7,4580.74,5171.700644
100202,MIDWEST,2,3,1610,3,5,1,1,83,2,6,3235.59,4141.033706
100203,SOUTH,2,1,2100,1,3,3,1,56,1,15,29293.75,3936.13713
100204,SOUTH,5,8,1000,3,-2,1,1,80,3,5,6063.07,7062.407007
