DOEID,REGIONC,TYPEHUQ,YEARMADERANGE,TOTSQFT_EN,WALLTYPE,ROOFTYPE,ADQINSUL,HHSEX,HHAGE,EMPLOYHH,MONEYPY,KWH,NWEIGHT
101183,SOUTH,2,6,1280,2,5,2,2,56,1,13,20577.13,12531.08625
101184,WEST,2,6,1680,4,1,2,2,53,1,15,15786.87,5340.129197
101185,WEST,2,2,2000,2,2,2,2,70,3,12,9609.57,5918.462538
101186,SOUTH,3,8,2000,1,5,1,1,38,1,16,10664.72,811.2392755
101187,MIDWEST,5,7,1600,3,-2,2,1,85,3,4,2851.98,7407.38754
101188,MIDWEST,2,2,700,3,5,2,2,75,3,14,3369.24,8435.008262
101189,SOUTH,3,7,1000,1,5,3,1,25,1,10,5976.65,7982.354352
101190,SOUTH,2,1,3000,2,5,2,1,50,1,16,13042.91,6535.25324
101191,SOUTH,2,2,1250,2,5,4,2,49,4,7,7163.76,6766.19556
101192,MIDWEST,2,8,1860,3,4,1,1,80,3,7,3672.87,4558.6409
101193,SOUTH,2,1,1000,3,5,3,2,72,1,14,18053.56,10727.13116
101194,SOUTH,2,3,1080,1,5,2,1,60,1,13,12685.07,5843.23458
101195,SOUTH,5,6,1700,1,-2,2,1,87,3,9,6744.15,14334.62697
101196,MIDWEST,1,5,960,3,5,4,1,29,4,7,12053.92,3944.253229
101197,SOUTH,2,4,2000,1,5,1,2,74,3,11,7532.06,8236.801724
101198,WEST,3,4,1400,3,5,1,2,35,1,14,1820.76,477.0675699
101199,NORTHEAST,5,4,740,3,-2,3,1,40,4,5,3370.73,7853.71808
101200,SOUTH,2,3,800,1,3,1,1,85,3,13,18703.36,4188.277236
101201,SOUTH,3,7,1450,3,5,1,1,26,4,10,17469.99,5341.540498
101202,WEST,2,7,1400,4,1,2,2,58,1,13,11070.71,4348.71061
101203,SOUTH,2,1,900,3,5,2,1,62,1,11,6862.16,7814.252795
101204,WEST,3,5,2500,3,2,2,1,36,4,15,25384.75,1449.662389
101205,WEST,2,7,2500,4,1,2,2,57,3,9,17158.86,4356.282503
101206,WEST,2,1,1600,4,5,3,1,66,1,13,17624.79,2533.319813
101207,WEST,2,7,1900,4,1,2,1,74,3,15,10808.41,3943.49555
101208,SOUTH,2,6,3200,1,5,2,1,77,3,16,16166.28,6774.47296
101209,SOUTH,2,6,1300,3,5,2,1,61,2,2,8474.69,11404.98193
101210,SOUTH,2,7,2700,1,5,2,2,46,1,16,22255.51,6575.17712
101211,WEST,2,7,1440,4,6,2,2,79,3,13,7590.28,5001.267487
101212,WEST,2,2,2120,3,5,2,2,79,2,12,8868.3,4839.59129
101213,NORTHEAST,2,1,1650,5,5,2,1,81,3,13,25522.14,12019.19161
101214,NORTHEAST,2,1,3750,3,5,2,2,66,3,14,8885.82,7285.759037
101215,WEST,4,1,900,4,5,4,1,48,2,8,4100.26,13123.01954
101216,WEST,2,4,3000,3,2,2,1,65,2,15,4318.07,5568.490568
101217,SOUTH,2,2,820,3,2,2,1,60,1,9,8308.76,7859.573406
101218,NORTHEAST,2,2,2010,3,5,2,2,60,1,16,8012.32,5013.433958
101219,NORTHEAST,2,7,7050,2,5,1,1,57,4,10,9099.99,2069.908462
101220,SOUTH,2,8,2300,1,5,1,1,72,3,12,9306.76,6628.744048
101221,SOUTH,2,9,5080,4,5,1,2,50,1,15,18156.87,9002.499724
101222,WEST,2,6,1780,4,5,3,1,47,2,12,15964.24,13708.58414
101223,MIDWEST,2,7,4000,3,5,1,2,52,1,16,18950.91,4038.743278
101224,SOUTH,2,6,900,3,2,1,2,35,1,6,4254.18,7376.259223
101225,MIDWEST,2,4,4400,3,5,1,2,48,1,16,7024.29,5964.595911
101226,SOUTH,2,8,1200,3,5,2,1,71,3,7,14486.74,5456.635725
101227,WEST,2,1,2250,4,5,1,1,71,3,12,21027.25,1131.282266
101228,SOUTH,2,3,3690,1,5,2,2,39,1,16,6769.45,6340.712612
101229,MIDWEST,2,7,2000,3,5,1,2,47,1,15,8357.84,3200.412053
101230,MIDWEST,3,9,1200,2,5,1,1,75,3,10,12404.82,2343.414617
101231,NORTHEAST,2,6,4660,2,5,2,2,74,3,16,11693.26,4213.054895
101232,WEST,2,2,1650,4,5,1,2,42,1,14,5304.11,13974.17757
101233,SOUTH,5,7,890,7,-2,1,1,47,1,8,7885.31,17483.96047
101234,MIDWEST,2,8,2840,3,5,1,1,30,1,12,23317.16,8215.136111
101235,SOUTH,2,6,1500,2,5,2,2,82,3,12,10263.5,4145.712118
101236,WEST,3,4,1000,4,5,1,2,28,4,3,2758.8,8635.604089
101237,MIDWEST,2,4,2500,3,5,1,2,64,1,16,15882.93,10069.98284
101238,SOUTH,2,5,1670,3,5,2,1,75,3,7,10507.26,5610.958143
101239,MIDWEST,2,5,2550,2,5,2,1,64,1,10,3505.38,5975.398561
101240,MIDWEST,2,5,5000,2,5,2,2,69,3,9,22743.08,776.7198209
101241,SOUTH,2,3,1770,7,5,2,2,80,3,13,12585.28,9573.439811
101242,SOUTH,4,6,1200,5,5,3,1,40,1,7,9504.63,6172.922511
101243,NORTHEAST,2,5,2250,2,3,2,1,69,3,12,6680.95,971.1015953
101244,SOUTH,2,2,1200,2,5,3,1,73,3,7,2444.32,6437.326328
101245,WEST,2,9,2370,4,5,1,1,48,1,16,9982.09,7201.773883
101246,NORTHEAST,2,2,3700,1,5,2,1,86,4,7,8675.99,7653.315303
101247,MIDWEST,2,4,2850,3,5,2,1,37,1,15,11896,4759.109456
101248,SOUTH,2,1,1800,2,5,3,1,28,4,16,6811.54,13499.93596
101249,WEST,5,3,1030,7,-2,2,1,26,1,15,4935.1,6317.549138
101250,SOUTH,2,3,3000,3,5,2,2,62,3,15,9798.36,5244.283376
101251,NORTHEAST,2,6,3000,3,5,2,2,79,3,9,4498.76,882.6267304
101252,NORTHEAST,4,1,1050,2,2,2,1,25,4,11,2104.1,8956.332611
101253,SOUTH,2,6,1600,3,5,2,1,35,2,15,15187.8,8249.901578
101254,SOUTH,2,1,1500,3,4,2,1,72,3,1,12491.15,12435.49121
101255,SOUTH,2,1,4070,3,5,1,1,54,1,15,30976.96,6135.142069
101256,NORTHEAST,2,1,1700,3,3,2,1,70,1,14,5529.12,9760.702933
101257,SOUTH,2,4,1540,2,5,2,1,45,2,15,8518.1,8318.038674
101258,WEST,2,6,2350,2,5,1,1,54,1,14,12767.31,5872.010535
101259,SOUTH,2,8,2480,1,5,1,1,48,1,15,49057.34,5800.280748
101260,SOUTH,2,5,1450,1,5,1,2,71,3,14,14914.17,8151.345086
101261,NORTHEAST,1,5,1020,3,3,2,2,69,3,6,6559.83,2876.232865
101262,NORTHEAST,2,5,2700,2,5,2,2,64,1,8,9764.2,6406.18799
101263,WEST,5,1,1100,1,-2,3,2,28,1,16,10274.75,8896.734005
101264,WEST,2,2,2000,2,5,2,2,81,3,16,5756.89,8414.795786
101265,SOUTH,5,4,1100,3,-2,2,1,25,1,11,10821.5,8458.199064
101266,NORTHEAST,2,3,3450,3,5,2,1,67,1,11,8566.79,5472.553162
101267,WEST,3,6,1200,4,5,2,2,55,4,9,10047.61,6369.667608
101268,WEST,5,4,600,1,-2,2,1,28,1,13,1031.17,7472.378809
101269,MIDWEST,1,9,2130,3,5,2,2,29,1,15,12597.15,971.6824049
101270,MIDWEST,4,4,1100,3,5,1,2,62,3,7,5216.83,15170.07316
101271,NORTHEAST,2,1,2220,3,5,2,1,29,1,16,5705.38,4296.97124
101272,SOUTH,1,4,910,3,5,1,2,74,1,7,3664.2,8748.664701
101273,SOUTH,2,2,2400,3,3,3,1,88,3,6,9161.51,4825.737417
101274,WEST,5,8,600,3,-2,2,1,28,1,10,7181.38,5549.244386
101275,SOUTH,4,4,560,7,5,3,1,58,4,3,4759.61,10092.13082
101276,SOUTH,2,3,2400,1,5,2,1,49,2,16,15685.3,6845.672088
101277,WEST,2,7,1800,4,1,2,2,64,3,16,18965.6,4035.339693
101278,SOUTH,2,7,1600,3,5,2,2,47,3,15,24028.25,2967.277461
101279,WEST,2,2,2200,2,2,2,1,85,3,13,5557.9,9076.098015
101280,NORTHEAST,2,2,1440,3,5,1,1,58,1,15,11493.4,5046.471256
101281,WEST,5,9,750,3,-2,2,1,38,1,10,6465.21,9693.06689
101282,WEST,2,6,1780,4,1,2,2,47,1,15,11969.36,4943.711566
101283,WEST,2,1,1930,4,1,3,1,61,3,15,8906.95,10779.19898
101284,MIDWEST,2,1,1680,1,2,3,1,25,4,6,28648.72,15343.03713
101285,WEST,2,4,1500,4,5,2,2,44,1,11,13724.53,4776.085933
101286,MIDWEST,3,5,2800,3,5,2,1,59,1,14,12080.97,1019.331261
101287,MIDWEST,2,1,1790,3,5,2,2,25,1,13,10660.62,3961.469362
101288,MIDWEST,2,2,1520,3,5,1,1,44,4,6,7362.38,15091.18514
101289,SOUTH,3,5,1100,3,5,2,1,20,4,6,8671.72,2329.474219
101290,SOUTH,2,1,2400,1,5,1,1,84,3,6,6737.12,3348.817451
101291,MIDWEST,2,1,3000,2,5,2,1,61,1,15,9513.36,9320.727395
101292,WEST,2,5,2790,99,1,2,1,49,4,16,13745.58,8529.18375
101293,SOUTH,2,6,1880,1,5,2,1,77,3,12,7133.86,8353.946664
101294,NORTHEAST,2,1,1590,3,5,3,1,37,4,7,13939.32,10555.44349
101295,SOUTH,2,9,1800,3,5,1,1,72,3,7,8477.1,2251.739743
101296,MIDWEST,2,1,1490,3,5,3,1,33,1,16,12261.7,7309.203139
101297,SOUTH,2,8,1800,1,5,2,2,31,1,15,19775.81,4658.603553
101298,MIDWEST,2,4,2520,2,5,2,2,82,3,9,9529.89,10198.86688
101299,SOUTH,4,7,1750,7,99,2,2,60,1,16,15521.59,11853.70379
101300,SOUTH,2,4,1700,2,5,1,1,30,1,13,9303.79,5814.548073
101301,WEST,1,4,1300,3,5,2,1,57,3,1,11529.51,7861.200045
101302,NORTHEAST,2,7,4800,3,5,2,2,71,3,16,9979.35,6011.860045
101303,MIDWEST,2,4,1880,3,5,4,1,69,3,15,9228.36,6825.643056
101304,SOUTH,2,6,1200,3,2,2,1,58,1,11,14932.73,6545.729197
101305,SOUTH,2,4,1300,1,5,3,1,31,1,16,19497.14,12057.48307
101306,MIDWEST,2,1,950,1,5,3,1,59,1,12,3342.59,4783.49217
101307,MIDWEST,4,1,1800,5,5,1,2,59,1,15,9337.91,17269.72147
101308,SOUTH,4,7,810,2,2,1,2,29,1,9,4314.2,6615.49029
101309,MIDWEST,2,2,1200,1,5,2,2,75,3,13,19057.23,14881.57806
101310,SOUTH,2,4,3100,2,5,2,1,48,2,16,8730.44,4577.869476
101311,SOUTH,2,6,1100,3,5,2,1,68,1,9,10965.94,8846.931807
101312,SOUTH,3,5,1250,3,2,3,1,58,1,13,13787.45,4696.535239
101313,SOUTH,1,6,1390,3,3,3,1,44,1,11,15349.82,11575.38276
101314,WEST,2,8,2890,4,1,1,2,62,3,14,21621.32,4812.811296
101315,MIDWEST,5,8,850,6,-2,1,1,33,4,1,4586.43,1209.237259
101316,WEST,2,2,980,2,5,3,1,71,3,14,10166.45,3270.932495
101317,MIDWEST,2,5,1900,3,5,2,1,73,1,14,23023.65,7092.97838
101318,MIDWEST,5,7,400,7,-2,2,2,32,1,13,650.21,10952.51061
101319,NORTHEAST,5,2,650,1,-2,1,2,47,4,3,6631.94,10888.52757
101320,MIDWEST,5,3,480,1,-2,2,1,50,4,5,4653.89,20896.80071
101321,MIDWEST,5,5,850,2,-2,2,2,58,1,15,5562.05,8347.032458
101322,SOUTH,2,2,2000,1,5,1,2,62,1,14,9954.28,4648.943066
101323,NORTHEAST,2,2,790,3,5,2,1,33,1,16,7721.48,2319.442513
101324,MIDWEST,2,4,2800,3,5,2,1,54,1,15,7193.18,8378.612033
101325,WEST,2,1,1800,3,5,2,1,29,3,11,18103.88,2188.450231
101326,SOUTH,2,3,640,2,3,1,2,75,3,7,5283.38,3390.85536
101327,WEST,2,8,1600,3,5,2,1,65,1,15,5345.75,1233.289227
101328,SOUTH,2,7,1900,3,5,1,2,69,3,8,20094.95,3722.958264
101329,WEST,3,3,1730,2,5,2,1,30,1,14,12924.76,1398.180048
101330,WEST,5,7,1200,1,-2,1,2,32,1,16,4467.6,12800.03281
101331,SOUTH,2,2,630,3,5,2,1,33,1,8,30081.76,6856.310829
101332,WEST,5,5,720,1,-2,2,2,67,3,7,1020.19,15450.96607
101333,SOUTH,5,2,780,1,-2,2,1,65,3,6,3537.49,9252.221727
101334,MIDWEST,2,4,2100,3,5,2,2,50,1,13,15167.72,6874.405177
101335,SOUTH,2,6,1190,3,5,2,1,61,1,14,9788.53,9491.254125
101336,NORTHEAST,2,2,3000,2,3,1,2,73,3,13,5034.24,2497.786673
101337,WEST,3,7,1550,4,1,2,1,67,3,13,6849.88,8299.070773
101338,MIDWEST,2,7,3000,3,5,2,1,30,1,13,6085.41,5504.231546
101339,WEST,2,6,1200,2,5,1,1,51,2,13,5236.8,2581.13702
101340,MIDWEST,3,2,2460,3,5,3,1,36,4,6,5989.25,4205.984389
101341,NORTHEAST,4,1,2200,2,2,2,2,38,1,16,3216.88,8037.411572
101342,SOUTH,2,5,2400,2,5,3,2,57,1,16,22796.48,12863.08395
101343,WEST,5,1,350,1,-2,2,2,38,1,13,2542.66,19224.10947
101344,MIDWEST,1,5,1250,3,5,1,1,74,3,2,11605.47,7039.305194
101345,WEST,2,1,1730,2,1,3,1,61,2,14,12241.66,2231.655725
101346,NORTHEAST,4,1,1000,1,1,4,1,60,4,4,4739.81,13785.37649
101347,SOUTH,2,4,840,1,5,1,2,57,2,1,6050.5,8759.163303
101348,MIDWEST,2,5,3000,1,5,3,1,44,1,14,10563.04,8415.646636
101349,MIDWEST,2,2,2030,1,2,1,2,75,3,12,6320.42,15622.30313
101350,WEST,2,3,1600,2,3,1,1,55,2,14,5936.99,4985.107806
101351,WEST,2,6,2400,3,5,2,1,40,1,16,12811.98,6536.95856
101352,SOUTH,2,3,1160,1,5,3,2,52,1,12,10852.15,9820.493262
101353,SOUTH,2,6,3530,3,5,2,1,49,1,14,27478.39,9208.541314
101354,MIDWEST,2,1,2460,3,5,1,2,71,2,14,15301.55,9456.649547
101355,WEST,2,6,1850,3,5,2,2,77,1,15,6386.8,5030.464498
101356,WEST,5,2,290,7,-2,2,1,57,4,6,1210.69,16993.47536
101357,WEST,5,4,750,3,-2,2,1,40,4,2,8737.18,6029.102646
101358,WEST,2,7,1700,4,1,1,1,64,3,11,14369.86,4000.89176
101359,SOUTH,2,6,4400,4,3,2,2,58,1,16,16045.15,10037.51114
101360,NORTHEAST,2,1,1750,3,5,3,2,48,1,15,11323.56,6583.971544
101361,WEST,1,5,840,3,5,2,2,28,4,1,14235.78,5629.277906
101362,SOUTH,5,7,860,1,-2,3,1,75,3,4,5710.32,10347.67717
101363,MIDWEST,2,3,1150,1,5,2,2,65,3,6,4226.93,11498.76435
101364,WEST,2,4,1750,3,5,2,2,68,3,15,20378.76,1116.403739
101365,SOUTH,2,7,1730,3,5,1,1,32,1,14,12233.31,4965.892021
101366,SOUTH,3,3,1200,2,3,1,2,69,3,11,12511.15,4246.456741
101367,SOUTH,5,6,600,1,-2,2,1,63,1,12,7611.35,10505.72257
101368,WEST,2,5,1580,2,5,1,2,49,1,13,4613.14,3680.417982
101369,WEST,2,2,1820,5,5,2,1,47,1,12,1355.34,3010.515266
101370,MIDWEST,1,3,680,3,3,3,2,58,2,4,7326.51,8456.093696
101371,MIDWEST,2,3,1200,3,5,2,2,59,1,14,7499.17,5540.929162
101372,MIDWEST,2,1,1440,3,5,3,1,66,1,12,6164.17,12054.79786
101373,MIDWEST,2,4,2500,3,5,2,2,73,3,15,7779.97,10820.2184
101374,SOUTH,4,5,900,1,5,1,1,39,1,2,11027.27,8353.145573
101375,MIDWEST,2,4,1350,1,5,3,2,65,3,11,8195.6,12606.44221
101376,NORTHEAST,2,1,640,4,5,1,1,38,4,13,15259.16,11431.34981
101377,WEST,2,5,1500,4,1,2,1,52,4,13,3894.3,5230.704268
101378,NORTHEAST,5,3,510,1,-2,4,2,73,3,5,5579.9,7428.149155
101379,WEST,2,4,2120,4,5,2,1,43,1,14,8876.61,3131.037825
101380,SOUTH,2,5,1200,1,5,1,1,63,3,7,12012.46,15075.74666
101381,NORTHEAST,3,5,1600,3,5,2,2,58,1,13,12929.93,5076.025972
101382,WEST,1,6,1700,2,5,1,2,27,1,9,11772.68,5602.287731
101383,SOUTH,2,3,2680,3,5,1,2,73,3,14,9690.42,6058.626696
101384,WEST,2,3,1750,4,5,3,1,71,3,15,7885.56,11498.64024
101385,WEST,5,5,650,4,-2,3,1,27,2,8,4532.05,7766.374332
101386,SOUTH,2,5,1200,2,5,2,2,71,3,12,14646.12,3511.034483
101387,MIDWEST,2,6,3350,3,5,2,1,35,4,16,15694.65,5022.708638
101388,SOUTH,2,6,1110,2,5,2,2,43,1,14,8850.59,9416.947315
101389,WEST,2,4,1050,7,5,3,2,62,1,10,17989.57,5066.708956
101390,WEST,1,4,800,2,5,3,1,48,1,5,5092.12,941.9359453
101391,NORTHEAST,3,5,1800,3,2,1,1,61,3,5,18230.83,4157.364084
101392,MIDWEST,5,9,700,3,-2,1,1,26,1,14,3617.39,8631.069564
101393,WEST,2,2,1260,4,5,3,1,62,1,10,2715.96,13647.24916
101394,SOUTH,2,5,1600,3,5,1,1,34,2,7,16318.64,8104.692489
101395,WEST,2,8,3060,4,1,1,2,31,1,16,10428.06,3077.42456
101396,SOUTH,2,6,4810,3,5,2,1,64,4,14,12605.74,7071.637906
101397,SOUTH,2,2,1000,3,5,1,1,39,1,8,4734.14,11121.45776
101398,SOUTH,2,4,1570,1,5,3,2,62,1,14,17151.03,6244.73406
101399,SOUTH,2,7,2750,3,5,1,1,32,4,13,18867.78,5413.375165
101400,SOUTH,2,3,1900,3,5,1,1,66,3,4,12338.18,6113.567824
101401,SOUTH,2,3,1200,1,5,2,1,83,3,9,10681.02,5278.097539
101402,SOUTH,2,2,1300,2,3,3,2,79,3,6,8966.41,10320.71952
101403,NORTHEAST,2,4,2280,4,5,2,2,75,3,13,7930.5,1591.374196
101404,NORTHEAST,5,3,1100,2,-2,2,1,90,3,1,2222.44,3479.689939
101405,MIDWEST,2,1,1400,4,5,2,2,58,2,16,2674.58,7127.376292
101406,WEST,5,9,1040,2,-2,2,2,68,1,13,13472.06,8047.463279
101407,SOUTH,2,7,2800,1,5,1,2,57,1,15,23550.12,3459.219884
101408,NORTHEAST,4,1,1850,3,5,2,1,73,3,11,13645.66,11420.63293
101409,SOUTH,2,7,5500,3,5,2,1,46,2,16,20529.86,5335.661356
101410,MIDWEST,2,7,3330,3,5,1,2,30,1,15,11524.6,730.4846162
101411,SOUTH,2,6,2360,1,5,2,2,55,1,12,16886.7,5527.033922
101412,SOUTH,5,7,1200,4,-2,2,1,41,4,9,8206.93,14584.03179
101413,MIDWEST,5,5,1050,2,-2,1,2,39,1,15,9586.39,12539.4475
101414,NORTHEAST,1,4,990,3,5,3,2,74,2,2,9645.55,3215.315025
101415,WEST,2,5,1430,4,5,1,2,58,1,11,8356.83,11113.84484
101416,WEST,2,3,4340,2,5,2,2,72,3,7,9283.97,845.0730219
101417,SOUTH,5,3,670,1,-2,2,1,31,1,8,6322.36,16771.95151
101418,SOUTH,2,7,2290,1,5,1,1,71,3,15,13965.11,4747.421711
101419,SOUTH,2,6,2110,1,5,2,2,74,3,13,10018.22,5691.443117
101420,MIDWEST,2,4,2400,2,5,1,1,67,3,15,14910.04,857.2722624
101421,NORTHEAST,4,3,1200,1,3,4,1,42,1,11,3502.9,1610.479048
101422,SOUTH,2,3,2500,1,5,3,1,67,3,16,12994.21,4687.477512
101423,NORTHEAST,4,3,900,1,5,2,1,32,1,16,5943.51,12236.71693
101424,SOUTH,2,1,3800,3,5,2,2,62,3,15,6920.32,6721.658055
101425,SOUTH,2,1,2400,6,5,2,2,74,3,12,16351.74,3977.313921
101426,MIDWEST,1,7,990,3,5,1,2,60,1,13,6494.61,8664.331493
101427,SOUTH,5,5,1000,1,-2,2,1,25,1,13,3425.33,11948.87621
101428,MIDWEST,2,7,5070,3,5,1,2,57,4,15,15466.87,9869.368869
101429,SOUTH,1,4,410,2,3,3,1,88,3,1,5396.76,11677.00263
101430,MIDWEST,1,4,1200,2,5,3,1,45,1,14,10044.15,6999.118064
101431,WEST,2,1,1090,4,5,4,1,70,3,8,6424.35,18239.11309
101432,SOUTH,3,5,1250,3,5,1,1,32,1,15,4074.28,5520.728938
101433,WEST,5,6,1100,1,-2,4,2,35,3,1,6875.89,11859.08261
101434,SOUTH,5,3,800,1,-2,2,2,59,1,16,3997.9,12672.05832
101435,SOUTH,2,1,3100,3,5,3,1,61,1,15,15156.09,11449.40788
101436,WEST,2,7,3200,4,5,2,2,62,1,14,8090.46,8043.866215
101437,NORTHEAST,2,8,2780,3,5,1,1,49,1,16,3640.98,1958.071341
101438,SOUTH,2,7,5400,3,5,2,2,59,3,16,11795.64,6567.163498
101439,SOUTH,3,4,1180,2,5,2,2,30,1,12,15082.6,2200.245277
101440,NORTHEAST,3,5,2250,3,5,1,1,80,2,16,8585.97,3627.195793
101441,SOUTH,5,5,890,1,-2,1,1,23,2,1,12505.41,15269.7776
101442,SOUTH,2,1,5000,1,5,1,2,49,1,16,18042.5,7167.452325
101443,SOUTH,2,6,2000,1,5,2,2,70,3,14,14008.47,9027.582735
101444,WEST,2,7,1380,2,2,2,1,49,1,13,14256.13,2023.71204
101445,SOUTH,2,3,4500,1,3,2,1,90,3,9,9813.71,7339.777343
101446,NORTHEAST,2,4,1530,3,2,3,1,60,3,13,6514.29,7649.854697
101447,MIDWEST,4,1,1000,1,5,2,2,55,4,2,3392.38,15246.55327
101448,NORTHEAST,5,1,1800,6,-2,1,2,84,3,16,9892.01,11899.23248
101449,WEST,4,7,1600,3,2,2,1,32,1,11,13485.03,9659.928502
101450,WEST,1,6,1750,3,5,2,2,35,2,8,9007.81,6328.435433
101451,MIDWEST,2,4,1050,3,5,2,1,62,1,10,11101.54,12536.27874
101452,MIDWEST,2,4,2400,3,3,2,2,53,1,15,21536.43,894.6315992
101453,MIDWEST,2,3,1010,4,3,4,2,77,3,8,8115.45,8509.865457
101454,NORTHEAST,5,1,650,1,-2,1,2,83,3,6,1912.22,6016.287351
101455,NORTHEAST,2,5,3600,3,3,1,1,61,1,16,9780.51,922.1091813
101456,MIDWEST,5,8,500,3,-2,1,1,90,3,11,3300.29,13040.08128
101457,SOUTH,2,3,2600,1,5,2,2,59,1,14,5434.18,7059.280915
101458,WEST,1,6,1180,3,5,2,2,60,3,13,5199.93,6199.065684
101459,MIDWEST,2,7,2480,3,5,2,1,42,1,14,7006.08,11443.10808
101460,WEST,2,5,1800,4,5,3,1,34,2,13,17934.81,9873.171141
101461,NORTHEAST,5,5,510,1,-2,2,2,68,3,4,4602.89,5948.082416
101462,SOUTH,2,5,2600,3,5,3,2,55,1,12,9096.7,4405.388941
101463,SOUTH,2,3,1250,3,3,1,1,71,3,1,14392.7,4415.479056
101464,MIDWEST,2,7,2000,3,3,3,1,74,3,12,11175.92,3927.09043
101465,MIDWEST,2,8,11150,6,5,1,2,47,1,16,34365.17,4394.591147
101466,MIDWEST,2,4,1100,3,5,2,2,50,1,14,21763.83,9136.895891
101467,WEST,2,3,1050,1,99,3,2,63,3,13,1545.67,1890.940252
101468,NORTHEAST,4,3,760,1,1,1,2,45,1,13,2839.64,12619.94483
101469,MIDWEST,2,7,1400,4,5,1,1,80,3,10,6012.78,5427.252802
101470,MIDWEST,3,1,2200,3,5,1,2,65,3,3,16311.53,6264.09223
101471,NORTHEAST,5,1,740,1,-2,3,1,87,4,7,2411.07,11972.17216
101472,SOUTH,3,2,1100,1,5,1,1,65,3,1,3635.2,2995.028447
101473,SOUTH,2,1,510,2,5,2,1,80,3,5,9504.7,6648.411246
101474,SOUTH,2,4,1350,1,5,3,1,31,2,14,12727.17,8795.462255
101475,SOUTH,3,6,1150,3,5,2,1,27,1,10,22734.45,5934.976362
101476,WEST,3,7,800,5,5,1,2,37,1,12,8607.64,3680.329714
101477,MIDWEST,5,3,600,1,-2,1,2,59,1,1,2265.09,19863.00811
101478,WEST,2,5,2960,2,5,2,2,59,2,13,4799.12,863.9103388
101479,WEST,2,6,1450,4,6,2,2,81,3,15,8346.65,5127.978623
101480,SOUTH,2,3,1060,3,3,3,1,29,4,1,16494.7,5883.924816
101481,WEST,3,5,960,2,5,2,1,49,1,14,1828.34,514.9230559
101482,NORTHEAST,5,1,750,3,-2,4,2,71,3,7,2861.09,9609.559097
101483,NORTHEAST,2,7,4200,3,5,1,2,59,1,15,17051.35,7040.404572
101484,SOUTH,2,2,1000,3,3,1,1,67,1,8,5837.83,10019.37405
101485,MIDWEST,2,2,2510,3,5,1,2,43,1,12,10779.44,5826.208279
101486,SOUTH,5,7,1200,4,-2,3,1,57,1,14,5940.58,11018.68191
101487,MIDWEST,2,2,1100,3,5,2,1,70,3,10,7475.59,6314.015083
101488,MIDWEST,2,8,3400,3,5,2,1,78,3,4,7761,4738.819195
101489,SOUTH,3,1,1530,1,5,3,1,90,4,5,1540.27,1021.219673
101490,NORTHEAST,4,1,580,4,2,3,2,74,3,7,2859.23,14366.51124
101491,NORTHEAST,2,1,2700,3,5,2,2,65,1,16,8946.9,4759.936518
101492,WEST,2,9,2300,3,5,1,1,73,3,11,6359.15,2563.072201
101493,MIDWEST,5,1,630,1,-2,4,2,59,3,3,11592.66,10705.677
101494,SOUTH,2,7,1900,3,5,2,1,38,1,11,7327.8,6109.353413
101495,SOUTH,2,7,3440,1,5,2,2,53,1,16,21613.59,7339.418721
101496,MIDWEST,2,3,1200,1,5,2,1,80,3,9,8637.51,8334.968226
101497,MIDWEST,2,6,2110,3,5,2,2,77,3,11,8844.6,4146.603673
101498,NORTHEAST,3,7,3000,3,5,2,2,58,1,15,7354.79,5350.021307
101499,NORTHEAST,5,5,1010,3,-2,1,1,46,4,1,4440.25,9318.044351
101500,WEST,2,5,1800,4,5,1,2,78,3,14,10797.41,4528.487139
101501,MIDWEST,3,6,2230,2,5,1,1,68,4,16,11261.67,1195.778637
101502,NORTHEAST,3,5,1970,3,5,2,1,59,1,15,14699.32,4516.916021
101503,WEST,2,4,1100,4,5,2,1,73,3,15,10707.19,4832.167285
101504,WEST,2,6,800,2,5,2,1,61,4,16,22805.66,2074.127467
101505,MIDWEST,2,4,2600,3,5,1,2,40,1,14,7558.3,6110.28657
101506,NORTHEAST,2,1,1200,3,5,3,2,74,3,12,10109.55,2252.906305
101507,NORTHEAST,3,1,1760,3,2,1,2,36,1,16,10649.21,553.5049352
101508,WEST,4,1,350,1,5,2,1,27,1,11,1671.89,8804.075703
101509,SOUTH,5,7,860,6,-2,2,1,78,4,7,5183.45,7938.023594
101510,WEST,2,6,2300,2,5,2,2,56,1,12,10279.57,2327.531759
101511,MIDWEST,3,6,3000,3,5,2,1,78,3,11,10262.88,601.2683497
101512,SOUTH,2,1,1200,3,5,3,2,68,3,6,13254.06,4455.977173
101513,NORTHEAST,2,7,2600,2,5,1,2,62,2,16,6927.69,3833.89593
101514,NORTHEAST,2,7,6500,2,2,1,1,40,1,16,30277.79,3748.460273
101515,SOUTH,5,5,980,2,-2,2,1,64,2,4,15845.44,10731.41465
101516,SOUTH,5,3,800,2,-2,2,1,25,1,14,8555.63,8436.204671
101517,WEST,2,1,6400,1,3,2,1,65,2,7,11671.82,2510.975339
101518,SOUTH,1,4,620,3,3,2,2,74,3,12,14579.24,10597.79121
101519,NORTHEAST,2,5,1600,3,5,1,2,52,1,15,7829.51,5855.259194
101520,WEST,5,1,530,2,-2,1,1,30,1,12,1003.65,15109.42242
101521,SOUTH,2,7,3100,3,5,2,1,54,4,15,14228.96,6453.742307
